"Matricula","Periodo","Media_Int","Cod_Disciplina","Cod_Evasao","Nome_Disciplina","Situacao","Discreta","P1","P2","Grafos","TC","Eda","IC","GI","Leda","LP1","LP2"
"B1012",2011.1,75,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,75,0,0,0,0,0,0,0
"B1012",2011.2,37,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Reprovado",0,0,0,0,0,0,0,0,0,0,37
"B1012",2011.2,56,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Aprovado",0,0,0,0,56,0,0,0,0,0,0
"B1012",2011.2,75,1411176,0,"GERÊNCIA.DA.INFORMAÇÃO","Aprovado",0,0,0,0,0,0,0,75,0,0,0
"B1012",2012.1,55,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,55
"B1012",2013.1,50,1411172,0,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,50,0,0,0,0,0
"B1012",2013.1,52,1411179,0,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,0,0,0,52,0,0
"B10172",2011.2,69,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,69,0,0,0,0,0,0,0,0,0
"B10172",2011.2,71,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,71,0
"B10172",2011.2,73,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,73,0,0,0,0
"B10172",2012.1,0,1411168,0,"PROGRAMAÇÃO.II","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10172",2012.1,0,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10172",2012.1,38,1109113,0,"MATEMÁTICA.DISCRETA","Reprovado",38,0,0,0,0,0,0,0,0,0,0
"B10172",2012.1,55,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,55,0,0,0,0,0,0,0
"B10172",2012.2,39,1109113,0,"MATEMÁTICA.DISCRETA","Reprovado",39,0,0,0,0,0,0,0,0,0,0
"B10172",2012.2,60,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,60
"B10172",2012.2,83,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,83,0,0,0,0,0,0,0,0
"B10172",2013.1,50,1411172,0,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,50,0,0,0,0,0
"B10172",2013.1,50,1411179,0,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,0,0,0,50,0,0
"B10172",2013.1,63,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",63,0,0,0,0,0,0,0,0,0,0
"B10172",2013.2,25,1411171,1,"TEORIA.DA.COMPUTAÇÃO","Reprovado",0,0,0,0,25,0,0,0,0,0,0
"B10172",2013.2,41,1411176,1,"GERÊNCIA.DA.INFORMAÇÃO","Reprovado",0,0,0,0,0,0,0,41,0,0,0
"B10192",2006.1,78,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,78,0,0,0,0
"B10192",2006.1,84,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,84,0,0,0,0,0,0,0,0,0
"B10192",2006.1,84,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,84,0
"B10192",2006.2,50,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",50,0,0,0,0,0,0,0,0,0,0
"B10192",2006.2,50,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,50,0,0,0,0,0,0,0
"B10192",2006.2,60,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,60,0,0,0,0,0,0,0,0
"B10192",2006.2,82,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,82
"B10192",2007.1,0,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10192",2007.1,65,1411172,0,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,65,0,0,0,0,0
"B10192",2007.1,67,1411179,0,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,0,0,0,67,0,0
"B10192",2007.1,77,1411176,0,"GERÊNCIA.DA.INFORMAÇÃO","Aprovado",0,0,0,0,0,0,0,77,0,0,0
"B10192",2007.2,65,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Aprovado",0,0,0,0,65,0,0,0,0,0,0
"B10199",2005.2,56,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,56,0
"B10199",2005.2,61,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,61,0,0,0,0,0,0,0,0,0
"B10199",2005.2,78,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,78,0,0,0,0
"B10199",2006.1,50,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,50,0,0,0,0,0,0,0
"B10199",2006.1,51,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",51,0,0,0,0,0,0,0,0,0,0
"B10199",2006.1,63,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,63,0,0,0,0,0,0,0,0
"B10199",2006.1,87,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,87
"B10199",2006.2,37,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Reprovado",0,0,0,0,37,0,0,0,0,0,0
"B10199",2006.2,61,1411179,0,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,0,0,0,61,0,0
"B10199",2006.2,66,1411172,0,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,66,0,0,0,0,0
"B10199",2006.2,74,1411176,0,"GERÊNCIA.DA.INFORMAÇÃO","Aprovado",0,0,0,0,0,0,0,74,0,0,0
"B10199",2007.1,71,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Aprovado",0,0,0,0,71,0,0,0,0,0,0
"B10202",2013.2,37,1411167,0,"PROGRAMAÇÃO.I","Reprovado",0,37,0,0,0,0,0,0,0,0,0
"B10202",2013.2,37,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Reprovado",0,0,0,0,0,0,0,0,0,37,0
"B10202",2013.2,80,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,80,0,0,0,0
"B10202",2014.1,0,1411167,0,"PROGRAMAÇÃO.I","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10202",2014.1,0,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10202",2014.1,1,1109113,0,"MATEMÁTICA.DISCRETA","Reprovado",1,0,0,0,0,0,0,0,0,0,0
"B1024",2010.1,75,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,75,0,0,0,0,0,0,0,0,0
"B1024",2010.1,77,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,77,0,0,0,0
"B1024",2010.1,84,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,84,0
"B1024",2010.2,70,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",70,0,0,0,0,0,0,0,0,0,0
"B1024",2010.2,83,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,83,0,0,0,0,0,0,0,0
"B1024",2010.2,87,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,87
"B1024",2011.1,72,1411176,0,"GERÊNCIA.DA.INFORMAÇÃO","Aprovado",0,0,0,0,0,0,0,72,0,0,0
"B1024",2011.1,76,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,76,0,0,0,0,0,0,0
"B1024",2011.2,54,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Aprovado",0,0,0,0,54,0,0,0,0,0,0
"B1024",2011.2,56,1411172,0,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,56,0,0,0,0,0
"B1024",2011.2,64,1411179,0,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,0,0,0,64,0,0
"B10268",2003.2,70,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,70,0,0,0,0,0,0,0,0,0
"B10268",2003.2,78,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,78,0,0,0,0
"B10268",2003.2,78,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,78,0
"B10268",2003.2,92,1411176,0,"GERÊNCIA.DA.INFORMAÇÃO","Aprovado",0,0,0,0,0,0,0,92,0,0,0
"B10268",2004.1,59,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,59,0,0,0,0,0,0,0
"B10268",2004.1,69,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",69,0,0,0,0,0,0,0,0,0,0
"B10268",2004.1,71,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,71,0,0,0,0,0,0,0,0
"B10268",2004.1,78,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,78
"B10268",2004.2,70,1411179,0,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,0,0,0,70,0,0
"B10268",2004.2,71,1411172,0,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,71,0,0,0,0,0
"B10268",2004.2,74,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Aprovado",0,0,0,0,74,0,0,0,0,0,0
