"Matricula","Cod_Disciplina","Cod_Evasao","Nome_Disciplina","Media_Disciplina","Periodo","Situacao"
"B14667",1411181,0,"LABORATÓRIO DE PROGRAMAÇÃO II",8,2002.2,"Aprovado"
"B14667",1411191,0,"INTERCONEXÃO DE REDES DE COMPUTADORES",7.3,2004.2,"Aprovado"
"B14667",1411175,0,"ORG.E ARQUITETURA DE COMPUTADORES I",7,2003.2,"Aprovado"
"B14667",1411180,0,"LABORATÓRIO DE PROGRAMAÇÃO I",8.1,2002.1,"Aprovado"
"B14667",1114114,0,"METODOS ESTATISTICOS",8.2,2003.2,"Aprovado"
"B14667",1411193,0,"BANCO DE DADOS I",5.5,2004.1,"Aprovado"
"B14667",1411196,0,"INTELIGENCIA ARTIFICIAL I",7.6,2004.2,"Aprovado"
"B14667",1411179,0,"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS",7,2003.1,"Aprovado"
"B14667",1411167,0,"PROGRAMAÇÃO I",7.1,2002.1,"Aprovado"
"B14667",1411195,0,"SISTEMAS DE INFORMAÇÃO II",7.3,2004.1,"Aprovado"
"B14667",1411185,0,"PROJETO EM COMPUTAÇÃO I",7.5,2005.1,"Aprovado"
"B14667",1411256,0,"TEC(PRINCIPIOS DE ADMIN FINANCEIRA)",9.8,2006.1,"Aprovado"
"B5126",1108090,0,"FUNDAMENTOS DE FÍSICA MODERNA",8.6,2003.1,"Aprovado"
"B5126",1411172,0,"ESTRUTURA DE DADOS E ALGORITMOS",9,2003.1,"Aprovado"
"B5126",1411169,0,"PARADIGMAS DE LING. DE PROGRAMAÇÃO",9.2,2003.2,"Aprovado"
"B5126",1411254,0,"TECC(PROCESSAMENTO DIGITAL DE IMAGEM)",7.7,2004.2,"Aprovado"
"B5126",1411181,0,"LABORATÓRIO DE PROGRAMAÇÃO II",9.4,2002.2,"Aprovado"
"B5126",1411176,0,"GERÊNCIA DA INFORMAÇÃO",8.3,2002.2,"Aprovado"
"B5126",1411247,0,"TECC(ALGORITMOS AVANÇADOS II)",9.8,2005.1,"Aprovado"
"B5126",1411180,0,"LABORATÓRIO DE PROGRAMAÇÃO I",9.7,2002.1,"Aprovado"
"B5126",1411173,0,"LÓGICA MATEMÁTICA",7.1,2003.2,"Aprovado"
"B5126",1411192,0,"SISTEMAS OPERACIONAIS",7.2,2004.2,"Aprovado"
"B5126",1307150,0,"INGLÊS",9.1,2004.1,"Aprovado"
"B5126",1411197,0,"AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS",8.2,2005.1,"Aprovado"
"B5126",1114107,0,"PROBABILIDADE E ESTATISTICA",7.2,2003.1,"Aprovado"
