"Matricula","Periodo","Periodo_Curso","P1","P2","LP1","IC","LP2","Discreta","Eda","Leda","Grafos","TC"
"B10973",2010.1,1,70,0,77,84,0,0,0,0,0,0
"B10973",2010.2,2,0,74,0,0,70,68,0,0,59,0
"B10973",2011.1,3,0,0,0,0,0,0,70,50,0,76
"B11029",2012.1,1,65,0,64,82,0,0,0,0,0,0
"B11029",2012.2,2,0,73,0,0,74,51,0,0,50,0
"B11029",2013.1,3,0,0,0,0,0,0,35,29,0,1
"B11029",2013.2,3,0,0,0,0,0,0,47,35,0,0
"B11040",2007.1,1,77,0,78,77,0,0,0,0,0,0
"B11040",2007.2,2,0,200,0,0,35,200,0,0,200,0
"B11040",2008.1,2,0,200,0,0,0,200,0,0,200,0
"B11041",2004.1,1,60,0,60,80,0,0,0,0,0,0
"B11041",2004.2,2,0,70,0,0,77,75,0,0,73,0
"B11041",2005.1,3,0,0,0,0,0,0,56,62,0,0
"B11041",2005.2,3,0,0,0,0,0,0,0,0,0,57
"B11044",2008.1,1,90,0,86,91,0,0,0,0,0,0
"B11044",2008.2,2,0,88,0,0,94,83,0,0,82,0
"B11044",2009.1,3,0,0,0,0,0,0,84,94,0,78
"B11045",2002.1,1,53,0,80,80,0,0,0,0,0,0
"B11045",2002.2,2,0,71,0,0,92,68,0,0,83,0
"B11045",2003.1,3,0,0,0,0,0,0,50,72,0,58
"B11047",2003.1,1,70,0,76,86,0,0,0,0,0,0
"B11047",2003.2,2,0,70,0,0,78,75,0,0,71,0
"B11047",2005.1,3,0,0,0,0,0,0,61,50,0,78
"B11050",2007.2,1,38,0,48,70,0,0,0,0,0,0
"B11050",2008.1,1,71,0,54,0,0,0,0,0,0,0
"B11050",2008.1,2,0,0,0,0,0,61,0,0,0,0
"B11050",2008.2,2,0,67,0,0,86,0,0,0,55,0
"B11050",2009.1,3,0,0,0,0,0,0,16,39,0,41
"B11050",2010.1,3,0,0,0,0,0,0,0,0,0,30
"B11051",2004.2,1,200,0,200,200,0,0,0,0,0,0
"B11052",2008.2,1,50,0,50,85,0,0,0,0,0,0
"B11052",2009.1,2,0,72,0,0,72,54,0,0,60,0
"B11052",2009.2,3,0,0,0,0,0,0,52,70,0,33
"B11052",2010.1,3,0,0,0,0,0,0,0,0,0,70
"B11053",2002.2,1,4,0,15,18,0,0,0,0,0,0
"B11053",2003.1,1,15,0,14,22,0,0,0,0,0,0
"B11053",2004.1,1,28,0,26,52,0,0,0,0,0,0
"B11053",2004.2,1,76,0,73,0,0,0,0,0,0,0
"B11053",2005.1,2,0,77,0,0,84,12,0,0,70,0
"B11053",2005.2,2,0,0,0,0,0,61,0,0,0,0
"B11053",2005.2,3,0,0,0,0,0,0,70,78,0,0
"B11053",2006.1,3,0,0,0,0,0,0,0,0,0,70
"B11054",2009.2,1,71,0,70,52,0,0,0,0,0,0
"B11054",2010.1,2,0,39,0,0,42,0,0,0,48,0
"B11054",2010.2,2,0,80,0,0,75,0,0,0,16,0
"B11054",2011.1,2,0,0,0,0,0,1,0,0,29,0
"B11154",2013.1,1,200,0,200,200,0,0,0,0,0,0
"B11157",2011.1,1,85,0,86,90,0,0,0,0,0,0
"B11157",2011.2,2,0,94,0,0,77,79,0,0,70,0
"B11157",2012.1,3,0,0,0,0,0,0,51,51,0,80
"B11162",2009.1,1,83,0,85,70,0,0,0,0,0,0
"B11162",2009.2,2,0,90,0,0,87,68,0,0,57,0
"B11162",2010.1,3,0,0,0,0,0,0,70,78,0,54
"B11163",2006.1,1,68,0,63,86,0,0,0,0,0,0
"B11163",2006.2,2,0,79,0,0,90,67,0,0,61,0
"B11163",2007.1,3,0,0,0,0,0,0,76,83,0,70
"B11167",2010.2,1,48,0,28,39,0,0,0,0,0,0
"B11167",2011.1,1,55,0,55,81,0,0,0,0,0,0
"B11167",2011.2,2,0,200,0,0,2,0,0,0,24,0
"B11167",2012.1,2,0,200,0,0,11,200,0,0,73,0
"B11167",2012.2,2,0,0,0,0,0,61,0,0,0,0
"B11167",2013.1,3,0,0,0,0,0,0,0,0,0,16
"B11260",2002.2,1,77,0,83,73,0,0,0,0,0,0
"B11260",2003.1,2,0,70,0,0,77,51,0,0,51,0
"B11260",2003.2,3,0,0,0,0,0,0,70,58,0,60
"B11342",2010.2,1,72,0,71,87,0,0,0,0,0,0
"B11342",2011.1,2,0,85,0,0,84,47,0,0,88,0
"B11342",2011.2,2,0,0,0,0,0,73,0,0,0,0
"B11342",2011.2,3,0,0,0,0,0,0,57,52,0,0
"B11342",2012.1,3,0,0,0,0,0,0,0,0,0,72
"B11358",2010.1,1,70,0,70,86,0,0,0,0,0,0
"B11358",2010.2,2,0,82,0,0,86,95,0,0,79,0
"B11358",2011.1,3,0,0,0,0,0,0,77,93,0,0
"B11365",2010.2,1,79,0,79,92,0,0,0,0,0,0
"B11365",2011.1,2,0,91,0,0,93,76,0,0,92,0
"B11365",2011.2,3,0,0,0,0,0,0,71,86,0,0
"B11365",2012.1,3,0,0,0,0,0,0,0,0,0,79
"B11417",2014.1,1,25,0,25,200,0,0,0,0,0,0
"B11424",2012.2,1,76,0,76,70,0,0,0,0,0,0
"B11424",2013.1,2,0,55,0,0,66,55,0,0,50,0
"B11424",2013.2,3,0,0,0,0,0,0,54,70,0,58
"B11485",2013.1,1,50,0,50,76,0,0,0,0,0,0
"B11485",2013.2,2,0,200,0,0,2,200,0,0,0,0
"B11513",2011.1,1,200,0,200,19,0,0,0,0,0,0
"B11562",2014.1,1,83,0,83,81,0,0,0,0,0,0
